Id,Prediction
0,4615669.629063519
1,3818082.813201216
2,3069602.4833087474
3,3617635.749605828
4,4204564.225761077
5,4146451.6527118166
6,4543738.295505972
7,3780201.6142897396
8,4040729.206391499
9,4099823.0388151286
10,4741398.910322165
11,4983943.996576298
12,4018508.208704033
13,4549087.84056214
14,4441465.83866957
15,4352540.400660219
16,5041143.601104479
17,3269453.0253440137
18,4839022.83543261
19,3680325.008260535
20,3317080.062591981
21,4717876.673179308
22,4171751.521982014
23,3939706.8327527745
24,3586095.9328875397
25,4746833.931820208
26,3808777.5398109285
27,5436686.607130483
28,4330965.325935616
29,3765884.771494036
30,3873112.3182612346
31,2911141.274798705
32,2986940.0275678677
33,4309042.233658276
34,3680325.008260535
35,4340735.964210826
36,4204564.225761077
37,5137764.267741052
38,3892198.679329613
39,3236906.2653649813
40,4738750.025234025
41,4151073.7795389406
42,4412676.904712655
43,4058688.290694171
44,3786771.668294035
45,4958969.6023878325
46,3594558.4817277556
47,3685917.418846919
48,4225355.723754903
49,4161133.1737541533
50,4596401.931392449
51,3810512.940036873
52,5608440.788558871
53,3645942.791017771
54,4769358.926526711
55,4288798.162538851
56,5156919.243781083
57,3519141.538016391
58,4750906.071744298
59,4501694.013256223
60,3223271.929265897
61,3506197.693633426
62,4272548.5213258
63,3982459.864068915
64,4404812.934226985
65,4151073.7795389406
66,3856639.6073874324
67,4615532.434250267
68,4424135.389484644
69,4615669.629063519
70,4507525.228458365
71,3680325.008260535
72,3949032.2953378046
73,4717894.060845088
74,4486491.617167528
75,4757585.401636593
76,4845782.317322339
77,3361618.4515944133
78,4636110.659849734
79,3689878.7289404953
80,5197232.009223452
81,3962833.9770474606
82,3698537.7315543587
83,3857292.074136587
84,4581410.087234508
85,2997592.1769344383
86,3866770.952412462
87,4917534.256603149
88,4115025.4349038233
89,4102257.810191656
90,5673349.175408025
91,4336993.546644298
92,4598952.309704203
93,4330965.325935616
94,5731144.00608916
95,2913352.5758335707
96,4352135.464459405
97,4340735.964210826
98,4192700.274340269
99,4548498.130757884
100,3431697.8376139086
101,3399790.942358991
102,3268749.6677500615
103,3268749.6677500615
104,3737503.380574192
105,3878516.419860379
106,4084901.1007361575
107,4396722.633568324
108,3585915.729256228
109,4257346.1252371045
110,4797463.616312914
111,3869761.771733672
112,5388292.598340738
113,4410795.0379605135
114,4706879.854926368
115,3719873.520498253
116,3999513.4184357733
117,4872302.942573828
118,3924142.527920383
119,3972396.394399986
120,3730244.891344857
121,4374914.272551721
122,3713210.204146945
123,4738006.55398291
124,3157088.023167834
